company,category,priority,hq_city,website,form_url,email,linkedin,phone,contact_name,contact_role,country,notes
Motus Holdings Ltd,Dealer Group,A,Sandton,https://www.motus.co.za,https://www.motus.co.za/contact-us/,,https://www.linkedin.com/company/motus-sa,+27 11 532 9510,Ockert Janse van Rensburg,Group CEO,South Africa,"Bought Penta (Chery/Omoda/Jaecoo) Jan 2026. Imports Omoda/Jetour/Jaecoo/MG/Chery + added Honda/Suzuki/Mahindra Feb 2026. A++ target. Predicted email: ockert.jansevanrensburg@motus.co.za [PREDICTED-UNVERIFIED]"
Penta Motor Group,Dealer Group,A,Pretoria,https://pentamotorgroup.co.za,https://pentamotorgroup.co.za/contact-us/,,,+27 12 470 5500,,,South Africa,"Suzuki/Mahindra/Renault/Omoda/Jaecoo dealer. Acquired by Motus Jan 2026 — decisions now via Motus."
Super Group Ltd,Dealer Group,A,Sandton,https://www.supergroup.co.za,https://www.supergroup.co.za/contact-us/,info@supergroup.co.za,https://www.linkedin.com/company/super-group-ltd,+27 11 387 3400,Peter Mountford,CEO,South Africa,"JSE-listed (SPG). Dealerships across 35 brands, 66 sites. Predicted: peter.mountford@supergroup.co.za [PREDICTED-UNVERIFIED]"
Super Group Dealerships,Dealer Group,A,Sandton,https://supergroupdealerships.co.za,https://supergroupdealerships.co.za/contact-us/,info@supergroupdealerships.co.za,https://za.linkedin.com/company/supergroup-dealerships,+27 86 178 7374,Graeme Watson,Dealership CEO,South Africa,"35 brands, 66 sites in Gauteng/NW/Limpopo/Western Cape. Predicted: graeme.watson@supergroup.co.za [PREDICTED-UNVERIFIED]"
Combined Motor Holdings,Dealer Group,A,Umhlanga,https://cmh.co.za,https://cmh.co.za/contact-cmh-group/,cmhinfo@cmh.co.za,,031-580-4200,Jebb McIntosh,CEO/Founder,South Africa,"JSE-listed. Owns First Car Rental + CMH Fleet Solutions + Green Machine. No own Chinese brand yet — open to sourcing. Verified emails: customercare@cmh.co.za, varunah@cmh.co.za, nkanyezik@cmh.co.za, skj@cmh.co.za, sarahf@cmh.co.za"
Hatfield Motor Group,Dealer Group,A,Pretoria,https://www.hatfieldgroup.co.za,https://www.hatfieldgroup.co.za/contact,,https://za.linkedin.com/company/hatfieldmotorgroup,,Brad Kaftel,Managing Director,South Africa,"B-BBEE Level 2. 35 franchises + Fury. Already sells Haval — natural extension to Chery/GWM/BYD. Predicted: brad.kaftel@hatfieldgroup.co.za [PREDICTED-UNVERIFIED]"
Halfway Group,Dealer Group,A,Park Rynie,https://www.halfwaygroup.co.za,https://www.halfwaygroup.co.za/contact-us,,,+27 39 978 7500,,,South Africa,"Mostly Toyota and Ford — no Chinese yet. Possible diversification opportunity."
Bidvest McCarthy,Dealer Group,A,Sandton,https://www.mccarthy.co.za,https://www.mccarthy.co.za/contact-us,info@bidvest.co.za,https://www.linkedin.com/company/bidvest-group,+27 11 772 8700,Mpumi Madisa,Bidvest Group CEO,South Africa,"Bidvest conglomerate. McCarthy is auto retail. Bidvest CR is now Bluu. Verified: media@bidvest.co.za"
Barloworld Motor Retail,Dealer Group,A,Kempton Park,https://barloworld.com,https://barloworld.com/contact-us,,https://za.linkedin.com/company/barloworld-limited,+27 11 445 1000,Dominic Sewela,Group CEO,South Africa,"Delisting from JSE late 2025; Newco = Entsha 51% + Zahid 49%. Motor Retail moved to NMI-DSM in 2021. CAUTION: cancelled some Russia orders May 2022 — sanctions sensitivity for Russian-speaking importer."
NMI-DSM,Dealer Group,A,Durban,https://www.nmidsm.co.za,https://www.nmidsm.co.za/contact,,,+27 31 717 1333,Kamogelo Mmutlana,Co-CEO,South Africa,"JV Barloworld 50% + NH Partnership (Akoo family). Mercedes/Mitsubishi/Jeep/Subaru/GWM. Already work with GWM."
Williams Hunt,Dealer Group,A,Roodepoort,https://www.williamshunt.co.za,https://www.williamshunt.co.za/contact/,,https://za.linkedin.com/company/cfao-mobility,+27 11 470 9700,,,South Africa,"CFAO Mobility (French) subsidiary. Distributor of Sinotruk and Subaru. High relevance for truck supply but distributor competitor."
Group 1 Automotive SA,Dealer Group,A,Stellenbosch,https://www.group1auto.co.za,https://www.group1auto.co.za/contact-us,,https://za.linkedin.com/company/group-1-automotive,+27 21 880 0900,Daryl Kenningham,Group 1 Global CEO,South Africa,"Exclusive BAIC distributor in SA via Group1 BAIC. 20 dealers nationwide. Very open to Chinese portfolio expansion. A++ target."
Imperial / DP World SSA,Dealer Group,A,Bedfordview,https://www.imperiallogistics.com,https://www.imperiallogistics.com/contact-us,,,+27 11 372 6500,Mohammed Akoojee,CEO & MD DP World SSA,South Africa,"Decision-maker for logistics trucks. Large fleet — potential FAW/Foton/Sinotruk buyer."
Eastvaal Motor Group,Dealer Group,A,Secunda,https://www.eastvaalmotors.co.za,https://www.eastvaalmotors.co.za/contact-us/,careers@eastvaal.co.za,https://za.linkedin.com/company/eastvaalmotorgroup,+27 17 634 7151,Clive Blechman,CEO,South Africa,"27 brands in 12 dealerships. Already sells BAIC, BYD, GWM, Haval, Mahindra, TATA. Ideal target. Verified: paull@eastvaal.co.za, hennieg@eastvaal.co.za, fsnyman@eastvaalmotors.co.za. Predicted: clive.blechman@eastvaal.co.za [PREDICTED-UNVERIFIED]"
Renault Retail Group SA,Dealer Group,B,Sandton,https://www.renault.co.za,https://www.renault.co.za/contact-us,,https://za.linkedin.com/company/renault-south-africa,,Shumani Mabaso,CEO Renault SA,South Africa,"Operated by Motus."
Kempster Ford,Dealer Group,B,Multiple,https://www.kempsterford.co.za,https://www.kempsterford.co.za/contact-us,,,,,,South Africa,
Lazarus Motor Company,Dealer Group,A,Centurion,https://www.laz.co.za,https://www.laz.co.za/contact,enquiries@laz.co.za,https://za.linkedin.com/company/lazarus-motor-company,+27 12 678 0000,Colin Lazarus,CEO,South Africa,"Already sells BAIC, Foton, GAC Motor, Jetour + Ford/Mazda/Kia/Honda/JLR. Family business 4th gen. A++ target. Predicted: colin.lazarus@laz.co.za [PREDICTED-UNVERIFIED]"
Hatfield Toyota Group,Dealer Group,A,Pretoria,https://www.hatfieldgroup.co.za,https://www.hatfieldgroup.co.za/contact,,,,Brad Kaftel,HMG MD,South Africa,"Subsumed under HMG."
JSN Motors,Dealer Group,C,Boksburg,https://www.jsnmotors.co.za,https://www.jsnmotors.co.za/contact-us,,,,,,South Africa,"Data limited."
Bargain Cars,Used-car Wholesaler,C,Johannesburg,https://www.bargaincars.co.za,https://www.bargaincars.co.za/contact,,,,,,South Africa,
Naidoo Motors,Dealer Group,C,Durban,,,,,,,,South Africa,"Data unavailable — verify directly via Google Maps."
